,Team,Over,Batter,Bowler,Runs_Batter,Runs_Extra,Runs_Total,Player_Out,Wicket_Kind,Fielders
0,IND,19,Jadeja,Nortje,0,0,0,Ravindra Jadeja,caught,Maharaj
1,IND,19,Jadeja,Nortje,2,0,2,,,
2,IND,19,Dube,Nortje,0,0,0,Shivam Dube,caught,Miller
3,IND,19,Dube,Nortje,4,0,4,,,
4,IND,19,Hardik,Nortje,1,0,1,,,
5,IND,19,Dube,Nortje,1,0,1,,,
6,IND,19,Dube,Nortje,0,1,1,,,
7,IND,18,Hardik,Jansen,4,0,4,,,
8,IND,18,Kohli,Jansen,0,0,0,Virat Kohli,caught,Rabada
9,IND,18,Kohli,Jansen,6,0,6,,,
10,IND,18,Kohli,Jansen,2,0,2,,,
11,IND,18,Kohli,Jansen,4,0,4,,,
12,IND,18,Kohli,Jansen,0,0,0,,,
13,IND,18,Kohli,Jansen,0,1,1,,,
14,IND,17,Kohli,Rabada,1,0,1,,,
15,IND,17,Dube,Rabada,1,0,1,,,
16,IND,17,Dube,Rabada,0,1,1,,,
17,IND,17,Kohli,Rabada,1,0,1,,,
18,IND,17,Kohli,Rabada,4,0,4,,,
19,IND,17,Kohli,Rabada,2,0,2,,,
20,IND,17,Kohli,Rabada,6,0,6,,,
21,IND,16,Dube,Nortje,4,0,4,,,
22,IND,16,Kohli,Nortje,1,0,1,,,
23,IND,16,Kohli,Nortje,0,0,0,,,
24,IND,16,Dube,Nortje,1,0,1,,,
25,IND,16,Kohli,Nortje,1,0,1,,,
26,IND,16,Dube,Nortje,1,0,1,,,
27,IND,15,Dube,Shamsi,1,0,1,,,
28,IND,15,Dube,Shamsi,4,0,4,,,
29,IND,15,Kohli,Shamsi,1,0,1,,,
30,IND,15,Dube,Shamsi,1,0,1,,,
31,IND,15,Dube,Shamsi,0,0,0,,,
32,IND,15,Kohli,Shamsi,1,0,1,,,
33,IND,14,Kohli,Jansen,1,0,1,,,
34,IND,14,Dube,Jansen,1,0,1,,,
35,IND,14,Kohli,Jansen,1,0,1,,,
36,IND,14,Kohli,Jansen,0,0,0,,,
37,IND,14,Dube,Jansen,1,0,1,,,
38,IND,14,Dube,Jansen,6,0,6,,,
39,IND,13,Dube,Rabada,1,0,1,,,
40,IND,13,Dube,Rabada,0,0,0,,,
41,IND,13,Kohli,Rabada,1,0,1,,,
42,IND,13,Kohli,Rabada,0,0,0,Axar Patel,run out,†de Kock
43,IND,13,Kohli,Rabada,0,1,1,,,
